title,writer,pony,dialog
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Oh, sorry, girls... I've got a lot of studying to catch up on."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,I know I've heard of the Elements of Harmony.
"Friendship is Magic, part 1",Lauren Faust,spike,Ow!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Spike! Spi-ike! Spike?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"There you are. Quick, find me that old copy of Predictions and Prophecies. What's that for?"
"Friendship is Magic, part 1",Lauren Faust,spike,"Well, it was a gift for Moon Dancer, but..."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Oh Spike, you know we don't have time for that sort of thing."
"Friendship is Magic, part 1",Lauren Faust,spike,But we're on a break!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"No, no, no... no, no, no! [grunts] Spike!"
"Friendship is Magic, part 1",Lauren Faust,spike,It's over here!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Ah! Elements, Elements, E, E, E... Aha! Elements of Harmony, see: Mare in the Moon?"
"Friendship is Magic, part 1",Lauren Faust,spike,Mare in the Moon? But that's just an old ponies' tale.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Mare, mare... aha! The Mare in the Moon, myth from olden pony times. A powerful pony who wanted to rule Equestria, defeated by the Elements of Harmony and imprisoned in the moon. Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about nighttime eternal! [gasp] Spike! Do you know what this means?"
"Friendship is Magic, part 1",Lauren Faust,spike,No<U+0097> whoa!
"Friendship is Magic, part 1",Lauren Faust,spike,Ow!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Take a note please, to the Princess."
"Friendship is Magic, part 1",Lauren Faust,spike,Okie dokie.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"My dearest teacher, my continuing studies of pony magic have led me to discover that we are on the precipice of disaster!"
"Friendship is Magic, part 1",Lauren Faust,spike,Hold on. Preci... preci...
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Threshold.
"Friendship is Magic, part 1",Lauren Faust,spike,Threh...
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Uh, brink? Ugh, that something really bad is about to happen! For you see, the mythical Mare in the Moon is in fact Nightmare Moon, and she's about to return to Equestria, and bring with her eternal night! Something must be done to make sure this terrible prophecy does not come true. I await your quick response. Your faithful student, Twilight Sparkle."
"Friendship is Magic, part 1",Lauren Faust,spike,Twi... light Spar... kle. Got it!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Great! Send it.
"Friendship is Magic, part 1",Lauren Faust,spike,Now?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Of course!
"Friendship is Magic, part 1",Lauren Faust,spike,"Uh, I dunno, Twilight, Princess Celestia's a little busy getting ready for the Summer Sun Celebration. And it's like, the day after tomorrow."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"That's just it, Spike. The day after tomorrow is the thousandth year of the Summer Sun Celebration! It's imperative that the Princess is told right away!"
"Friendship is Magic, part 1",Lauren Faust,spike,Impera... impera...
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Important!
"Friendship is Magic, part 1",Lauren Faust,spike,Whoa!
"Friendship is Magic, part 1",Lauren Faust,spike,"Okay, okay! [inhale] There, it's on its way. But I wouldn't hold your breath..."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Oh, I'm not worried, Spike. The Princess trusts me completely. In all the years she's been my mentor she's never once doubted me."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,See? I knew she would want to take immediate action.
"Friendship is Magic, part 1",Lauren Faust,spike,"[clears throat] My dearest, most faithful student Twilight. You know that I value your diligence and that I trust you completely."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Mm-hm!
"Friendship is Magic, part 1",Lauren Faust,spike,...but you simply must stop reading those dusty old books!
"Friendship is Magic, part 1",Lauren Faust,spike,"My dear Twilight, there is more to a young pony's life than studying, so I'm sending you to supervise the preparations for the Summer Sun Celebration in this year's location: Ponyville. And, I have an even more essential task for you to complete: make some friends!"
"Friendship is Magic, part 1",Lauren Faust,spike,"Look on the bright side, Twilight. The Princess arranged for you to stay in a library. Doesn't that make you happy?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Yes, yes it does. You know why? Because I'm right! I'll check on the preparations as fast as I can, then get to the library to find some proof of Nightmare Moon's return."
"Friendship is Magic, part 1",Lauren Faust,spike,"Then... when will you make friends, like the Princess said?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"She said to check on preparations. I am her student, and I'll do my royal duty, but the fate of Equestria does not rest on me making friends."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Thank you, sirs."
"Friendship is Magic, part 1",Lauren Faust,spike,"Maybe the ponies in Ponyville have interesting things to talk about. Come on, Twilight, just try!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Um... hello?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Well, that was interesting all right."
"Friendship is Magic, part 1",Lauren Faust,spike,"Summer Sun Celebration official overseer's checklist. Number one, banquet preparations: Sweet Apple Acres."
"Friendship is Magic, part 1",Lauren Faust,applejack,Yeehaw!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,[sigh] Let's get this over with... Good afternoon. My name is Twilight Sparkle<U+0097>
"Friendship is Magic, part 1",Lauren Faust,applejack,"Well, howdy-doo, Miss Twilight, a pleasure makin' your acquaintance. I'm Applejack. We here at Sweet Apple Acres sure do like makin' new friends!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Friends? Actually, I<U+0097>"
"Friendship is Magic, part 1",Lauren Faust,applejack,"So, what can I do you for?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"[clears throat] Well, I am in fact here to supervise preparations for the Summer Sun Celebration. And you're in charge of the food?"
"Friendship is Magic, part 1",Lauren Faust,applejack,We sure as sugar are! Would you care to sample some?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,As long as it doesn't take too long...
"Friendship is Magic, part 1",Lauren Faust,applejack,"Soup's on, everypony!"
"Friendship is Magic, part 1",Lauren Faust,applejack,"Now, why don't I introduce y'all to the Apple family?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Thanks, but I really need to hurry<U+0097>"
"Friendship is Magic, part 1",Lauren Faust,applejack,"This here's Apple Fritter. Apple Bumpkin. Red Gala. Red Delicious, Golden Delicious, Caramel Apple, Apple Strudel, Apple Tart, Baked Apples, Apple Brioche, Apple Cinnamon Crisp... [deep breath] Big McIntosh, Apple Bloom and Granny Smith. Up'n'attem, Granny Smith, we got guests."
"Friendship is Magic, part 1",Lauren Faust,granny smith,"[snort] Wha..? Soup's on? I'm up, here I come, ahm comin'..."
"Friendship is Magic, part 1",Lauren Faust,applejack,"Why, I'd say you're already part of the family!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"[spit] [nervous laughter] Okay, well, I can see the food situation is handled, so we'll be on our way."
"Friendship is Magic, part 1",Lauren Faust,apple bloom,Aren't you gonna stay for brunch?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Sorry, but we have an awful lot to do..."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,...fine.
"Friendship is Magic, part 1",Lauren Faust,spike,"Food's all taken care of, next is weather."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Ugh... I ate too much pie...
"Friendship is Magic, part 1",Lauren Faust,spike,"Hmm, there's supposed to be a Pegasus pony named Rainbow Dash clearing the clouds."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Well, she's not doing a very good job, is she?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Nng.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Nnnn.
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,[laughter] Lemme help you.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Let me guess. You're Rainbow Dash.
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,"The one and only. Why, you heard of me?"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"I heard you were supposed to be keeping the sky clear. [sigh] I'm Twilight Sparkle, and the Princess sent me to check on the weather."
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,"Yeah, yeah, that'll be a snap. I'll do it in a jiffy. Just as soon as I'm done practicing."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Practicing for what?
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,"The Wonderbolts! They're gonna perform at the Celebration tomorrow, and I'm gonna show 'em my stuff!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,The Wonderbolts?
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,Yep!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,The most talented flyers in all of Equestria?
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,That's them!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Pfft! Please. They'd never accept a Pegasus who can't even keep the sky clear for one measly day.
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,"Hey, I could clear this sky in ten seconds flat."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Prove it.
"Friendship is Magic, part 1",Lauren Faust,rainbow dash,"[sounds of exertion] Loop-de-loop around, and wham! What'd I say? Ten. Seconds. Flat. I'd never leave Ponyville hanging. [sheep baaing] [chuckles] You should see the look on your face. Ha! You're a laugh, Twilight Sparkle. I can't wait to hang out some more."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Rrgh.
"Friendship is Magic, part 1",Lauren Faust,spike,Wait! It's kinda pretty once you get used to it!
"Friendship is Magic, part 1",Lauren Faust,spike,Decorations. Beautiful...
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Yes, the d<e9>cor is coming along nicely. This ought'a be quick. I'll be at the library in no time. Beautiful indeed."
"Friendship is Magic, part 1",Lauren Faust,spike,"Not the d<e9>cor, her!"
"Friendship is Magic, part 1",Lauren Faust,rarity,"No, no, no, oh! Goodness no."
"Friendship is Magic, part 1",Lauren Faust,spike,How are my spines? Are they straight?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Good afternoon<U+0097>
"Friendship is Magic, part 1",Lauren Faust,rarity,"Just a moment, please! I'm 'in the zone', as it were. Oh, yes! Sparkle always does the trick, does it not? Why, Rarity, you are a talent. Now, um, how can I help yo<U+0097> [yelp] Oh my stars, darling! Whatever happened to your coiffure?!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Oh, you mean my mane? Well, it's a long story. I'm just here to check on the decorations, and then I'll be out of your hair!"
"Friendship is Magic, part 1",Lauren Faust,rarity,Out of my hair? What about your hair?!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Wait! Where are we going?! Help!
"Friendship is Magic, part 1",Lauren Faust,rarity,"No, no, uh-uh. Too green. Too yellow. Too poofy. Not poofy enough. Too frilly. Too... shiny. Now go on, my dear. You were telling me where you're from."
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,[wincing] I've... been sent... from Canterlot... to<U+0097>
"Friendship is Magic, part 1",Lauren Faust,rarity,Huh?
"Friendship is Magic, part 1",Lauren Faust,rarity,"Canterlot?! Oh, I am so envious! The glamour, the sophistication! I have always dreamed of living there! I can't wait to hear all about it! We are gonna be the best of friends, you and I... Emeralds?! What was I thinking? Let me get you some rubies!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Quick! Before she decides to dye my coat a new color!
"Friendship is Magic, part 1",Lauren Faust,spike,Wasn't she wonderful?
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Focus, Casanova. What's next on the list?"
"Friendship is Magic, part 1",Lauren Faust,spike,"[clears throat] Oh, uh, music! It's the last one!"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,"Oh my. Um, stop please, everyone, umm. Excuse me, sir? I mean no offense, but your rhythm is just a teeny-tiny bit off. Now, follow me, please. A-one, a-two, a-one two three-"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Hello!
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Oh my, I'm so sorry, I didn't mean to frighten your birds. I'm just here to check up on the music and it's sounding beautiful. [pause] I'm Twilight Sparkle. [pause] What's your name?"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,[very quietly] Um... I'm Fluttershy.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"I'm sorry, what was that?"
"Friendship is Magic, part 1",Lauren Faust,fluttershy,[even quieter] Um... My name is Fluttershy.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,Didn't quite catch that.
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"[pause] Well, um, it looks like your birds are back, so I guess everything's in order. Keep up the good work!"
"Friendship is Magic, part 1",Lauren Faust,twilight sparkle,"Oookay. [to Spike] Well, that was easy."
"Friendship is Magic, part 1",Lauren Faust,fluttershy,[gasp] A baby dragon!
